Región,CIE-10,Causa de Muerte,Sexo, < 1  , 1 a 4  , 5 a 9  , 10 a 19  , 20 a 44  , 45 a 64  , 65 a 79  , 80 y Más  
De Arica y Parinacota, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,4,7,3,1
De Arica y Parinacota, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,0,0,0,4,3,3,5
De Arica y Parinacota, C00-D48, Tumores (neoplasias),Hombre,0,0,0,0,9,41,67,41
De Arica y Parinacota, C00-D48, Tumores (neoplasias),Mujer,0,0,0,1,8,35,41,29
De Arica y Parinacota, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,2,8,13,15
De Arica y Parinacota, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,1,0,0,0,0,5,15,7
De Arica y Parinacota, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,1,0,1,9
De Arica y Parinacota, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,0,1,0,10
De Arica y Parinacota, G00-G99, Enfermedades del sistema nervioso,Hombre,0,0,0,1,5,4,8,4
De Arica y Parinacota, G00-G99, Enfermedades del sistema nervioso,Mujer,0,0,0,0,0,1,4,8
De Arica y Parinacota, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,0,3,33,49,47
De Arica y Parinacota, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,0,2,15,38,49
De Arica y Parinacota, J00-J99, Enfermedades del sistema respiratorio,Hombre,0,0,0,0,2,4,25,28
De Arica y Parinacota, J00-J99, Enfermedades del sistema respiratorio,Mujer,2,0,0,0,0,3,13,24
De Arica y Parinacota, K00-K93, Enfermedades del sistema digestivo,Hombre,0,0,0,0,3,19,24,10
De Arica y Parinacota, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,1,8,14,15
De Arica y Parinacota, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,0,0,0,2,2,4,9
De Arica y Parinacota, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,0,2,10,14
De Arica y Parinacota, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,6,0,0,0,0,0,0,0
De Arica y Parinacota, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,7,0,0,0,0,0,0,0
De Arica y Parinacota, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,6,2,0,0,1,0,0,0
De Arica y Parinacota, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,7,0,0,0,1,1,0,0
De Arica y Parinacota, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,0,0,0,0,2,1,4,10
De Arica y Parinacota, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,1,0,0,0,2,2,5,13
De Arica y Parinacota, V00-Y98, Causas externas de mortalidad,Hombre,0,1,2,2,44,30,9,7
De Arica y Parinacota, V00-Y98, Causas externas de mortalidad,Mujer,0,1,0,4,8,6,1,6
De Arica y Parinacota,,Resto de causas,Hombre,0,0,0,0,0,0,3,3
De Arica y Parinacota,,Resto de causas,Mujer,0,0,0,0,2,3,3,3
De Tarapacá, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,10,13,3,4
De Tarapacá, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,1,0,0,2,3,4,6
De Tarapacá, C00-D48, Tumores (neoplasias),Hombre,0,1,0,1,8,53,90,53
De Tarapacá, C00-D48, Tumores (neoplasias),Mujer,0,0,0,0,7,46,50,39
De Tarapacá, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,2,10,12,5
De Tarapacá, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,1,1,5,11,8
De Tarapacá, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,0,0,1,8
De Tarapacá, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,0,0,2,16
De Tarapacá, G00-G99, Enfermedades del sistema nervioso,Hombre,1,0,1,1,1,4,3,5
De Tarapacá, G00-G99, Enfermedades del sistema nervioso,Mujer,0,0,0,0,1,0,6,16
De Tarapacá, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,2,6,54,62,42
De Tarapacá, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,0,2,20,41,66
